2020-03-03 21:57:32,749 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2020-03-03 21:57:32,790 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2020-03-03 21:57:32,792 INFO  Logger.cs: 73 - Commit version 1.5.1-0-g916b5db
2020-03-03 21:57:32,793 INFO  Logger.cs: 74 - Build version 1.5.7152.31018
2020-03-03 21:57:32,841 INFO  SwAddin.cs: 250 - Adding Assembly export to file menu
2020-03-03 21:57:32,842 INFO  SwAddin.cs: 253 - Adding Part export to file menu
2020-03-03 21:57:33,220 INFO  SwAddin.cs: 218 - Connecting plugin to SolidWorks
2020-03-03 22:03:03,827 INFO  SwAddin.cs: 271 - Assembly export called for file Assem1.SLDASM
2020-03-03 22:03:09,289 INFO  SwAddin.cs: 290 - Saving assembly
2020-03-03 22:03:10,088 INFO  SwAddin.cs: 293 - Opening property manager
2020-03-03 22:03:10,281 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from Assem1.SLDASM
2020-03-03 22:03:10,335 INFO  ExportHelperExtension.cs: 1142 - Found 71 in Assem1.SLDASM
2020-03-03 22:03:10,336 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in Assem1.SLDASM
2020-03-03 22:03:10,337 INFO  ExportHelperExtension.cs: 1155 - Proceeding through assembly components
2020-03-03 22:03:10,352 INFO  ExportHelperExtension.cs: 1167 - 13 components to check
2020-03-03 22:03:10,353 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from spider-square-base-1
2020-03-03 22:03:10,354 INFO  ExportHelperExtension.cs: 1142 - Found 28 in spider-square-base-1
2020-03-03 22:03:10,355 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in spider-square-base-1
2020-03-03 22:03:10,355 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from SG90 - Micro Servo 9g - Tower Pro.1-3
2020-03-03 22:03:10,356 INFO  ExportHelperExtension.cs: 1142 - Found 83 in SG90 - Micro Servo 9g - Tower Pro.1-3
2020-03-03 22:03:10,357 INFO  ExportHelperExtension.cs: 1152 - Found 0 features of type [CoordSys] in SG90 - Micro Servo 9g - Tower Pro.1-3
2020-03-03 22:03:10,358 INFO  ExportHelperExtension.cs: 1131 - Retrieving features of type [CoordSys] from SG90 - Micro Servo 9g - Tower Pro.1-1
2020-03-03 22:03:10,359 INFO  ExportHelperExtension.cs: 1142 - Found 83 in SG90 - Micro Servo 9g - Tower Pro.1-1
